id,Sexe,Nom,Prenom,Etiquette,Elu1988,Elu1993,Elu1997,Elu2002,Elu2007,Elu2012,Elu2017,Nombre_presentation_1988,Nombre_presentation_1993,Nombre_presentation_1997,Nombre_presentation_2002,Nombre_presentation_2007,Nombre_presentation_2012,Nombre_presentation_2017,Nombre_Elu_1988,Nombre_Elu_1993,Nombre_Elu_1997,Nombre_Elu_2002,Nombre_Elu_2007,Nombre_Elu_2012,Nombre_Elu_2017,1988,1988_RES,1993,1993_RES,1997,1997_RES,2002,2002_RES,2007,2007_RES,2012,2012_RES,2017,2017_RES,Phrase_pres_cand,Phrase_pres_parti,Age,Site_perso,Twitter,Facebook,Img_cand,PodCast
24,F,AUBUJEAU,MICHELE,"MNR - CONTRE L'IMMIGRATION-ISLAMISATION, L'INSECURITE",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C1_53,0.3,,,,,,,,,,,,
25,M,AUDION,JEAN RAYMOND,RPR,0,C9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,C9_44,29.73,,,,,,,,,,,,,,,,,,
26,M,AUFFRET,GASTON,RASSEMBLEMENT POUR SE DEFENDRE ET FAIRE DU NEUF PRESENTE PAR LE PARTI COMMUNISTE FRANCAIS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C5_44,3.67,,,,,,,,,,,,,,,,,,
27,M,AUMON,YVES,UDF - MOUVEMENT DEMOCRATE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C4_44,11.32,,,,,,,,,,,,
28,F,AUROY,VANESSA,LIGUE COMMUNISTE REVOLUTIONNAIRE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,C3_49,2.31,C3_49,2.94,,,,,,,,,,,,
29,M,AUROY,YOANN,LIGUE COMMUNISTE REVOLUTIONNAIRE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C4_49,1.73,,,,,,,,,,,,,,
30,F,AURY,MARTINE,CHASSE PECHE NATURE TRADITIONS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C4_85,1.82,,,,,,,,,,,,
31,M,AUVBRY,ALAIN,LUTTE OUVRIERE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,C5_72,3.01,,,,,,,,,,,,,,,,
32,M,AUXIETTE,JACQUES,PARTI SOCIALISTE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C1_85,39.34,C1_85,19.68,,,,,,,,,,,,,,,,,,
33,M,AZZI,ELHADI,GENERATION ECOLOGIE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,C2_44,,"Elhadi Azzi, née en 1960, président de MCDEC « Mouvement Citoyen pour la Diversité et l’Egalité des Chances », et de Génération écologie. Il se présente en tant que candidat de Génération Ecologie aux législatives sur la 2ème circonscription de Loire-Atlantique.",Génération Ecologie est un mouvement politique écologiste fondé en 1991.,,http://www.generationecologie.net/,https://twitter.com/elhadiazzi?lang=fr,https://www.facebook.com/elhadi.azzi,,
34,F,BACH,CHRISTINE,GIP - DEMOCRATIE ACTIVE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C6_44,0.08,,,,,,,,,,,,,,
35,F,BACHE,MARINETTE,POLE REPUBLICAIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C3_85,0.86,,,,,,,,,,,,,,
36,M,BACHELOT,LOUIS-MARIE,ALLIANCE CENTRISTE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,C1_49,1.24,C1_49,3.46,,,,,,,,,,
