DATE,GEONAME,SCORE
2017-02-04,Languedoc-Roussillon,74
2017-02-04,Limousin,67
2017-02-04,Lorraine,62
2017-02-04,Lower Normandy,86
2017-02-04,Midi-Pyrénées,81
2017-02-04,Nord-Pas-de-Calais,56
2017-02-04,Pays de la Loire,90
2017-02-04,Picardy,61
2017-02-04,Poitou-Charentes,88
2017-02-04,Provence-Alpes-Côte d'Azur,74
2017-02-04,Rhone-Alpes,76
2017-02-04,Upper Normandy,69
2017-02-04,Île-de-France,79
2017-02-05,Alsace,65
2017-02-05,Aquitaine,80
2017-02-05,Auvergne,84
2017-02-05,Brittany,100
2017-02-05,Burgundy,73
2017-02-05,Centre-Val de Loire,71
2017-02-05,Champagne-Ardenne,62
2017-02-05,Corsica,73
2017-02-05,Franche-Comté,70
2017-02-05,Languedoc-Roussillon,68
2017-02-05,Limousin,76
2017-02-05,Lorraine,60
2017-02-05,Lower Normandy,78
2017-02-05,Midi-Pyrénées,77
2017-02-05,Nord-Pas-de-Calais,55
2017-02-05,Pays de la Loire,98
2017-02-05,Picardy,52
2017-02-05,Poitou-Charentes,80
2017-02-05,Provence-Alpes-Côte d'Azur,72
2017-02-05,Rhone-Alpes,72
2017-02-05,Upper Normandy,69
2017-02-05,Île-de-France,79
2017-02-06,Alsace,72
2017-02-06,Aquitaine,84
2017-02-06,Auvergne,88
2017-02-06,Brittany,100
2017-02-06,Burgundy,73
2017-02-06,Centre-Val de Loire,72
2017-02-06,Champagne-Ardenne,66
2017-02-06,Corsica,73
2017-02-06,Franche-Comté,73
2017-02-06,Languedoc-Roussillon,76
2017-02-06,Limousin,81
2017-02-06,Lorraine,70
2017-02-06,Lower Normandy,86
2017-02-06,Midi-Pyrénées,78
2017-02-06,Nord-Pas-de-Calais,63
2017-02-06,Pays de la Loire,91
2017-02-06,Picardy,68
2017-02-06,Poitou-Charentes,89
2017-02-06,Provence-Alpes-Côte d'Azur,74
2017-02-06,Rhone-Alpes,76
2017-02-06,Upper Normandy,71
2017-02-06,Île-de-France,78
2017-02-07,Alsace,77
2017-02-07,Aquitaine,86
2017-02-07,Auvergne,73
2017-02-07,Brittany,100
2017-02-07,Burgundy,76
2017-02-07,Centre-Val de Loire,87
2017-02-07,Champagne-Ardenne,77
2017-02-07,Corsica,66
2017-02-07,Franche-Comté,67
2017-02-07,Languedoc-Roussillon,82
2017-02-07,Limousin,76
2017-02-07,Lorraine,69
2017-02-07,Lower Normandy,92
2017-02-07,Midi-Pyrénées,83
2017-02-07,Nord-Pas-de-Calais,62
2017-02-07,Pays de la Loire,88
2017-02-07,Picardy,58
