DATE,GEONAME,SCORE
2017-02-08,Centre-Val de Loire,99
2017-02-08,Champagne-Ardenne,72
2017-02-08,Corsica,100
2017-02-08,Franche-Comté,59
2017-02-08,Languedoc-Roussillon,63
2017-02-08,Limousin,55
2017-02-08,Lorraine,64
2017-02-08,Lower Normandy,53
2017-02-08,Midi-Pyrénées,82
2017-02-08,Nord-Pas-de-Calais,65
2017-02-08,Pays de la Loire,73
2017-02-08,Picardy,87
2017-02-08,Poitou-Charentes,61
2017-02-08,Provence-Alpes-Côte d'Azur,84
2017-02-08,Rhone-Alpes,81
2017-02-08,Upper Normandy,80
2017-02-08,Île-de-France,85
2017-02-09,Alsace,45
2017-02-09,Aquitaine,57
2017-02-09,Auvergne,47
2017-02-09,Brittany,60
2017-02-09,Burgundy,52
2017-02-09,Centre-Val de Loire,55
2017-02-09,Champagne-Ardenne,44
2017-02-09,Corsica,100
2017-02-09,Franche-Comté,56
2017-02-09,Languedoc-Roussillon,57
2017-02-09,Limousin,52
2017-02-09,Lorraine,53
2017-02-09,Lower Normandy,41
2017-02-09,Midi-Pyrénées,53
2017-02-09,Nord-Pas-de-Calais,43
2017-02-09,Pays de la Loire,55
2017-02-09,Picardy,54
2017-02-09,Poitou-Charentes,45
2017-02-09,Provence-Alpes-Côte d'Azur,65
2017-02-09,Rhone-Alpes,55
2017-02-09,Upper Normandy,58
2017-02-09,Île-de-France,58
2017-02-10,Alsace,57
2017-02-10,Aquitaine,57
2017-02-10,Auvergne,58
2017-02-10,Brittany,57
2017-02-10,Burgundy,49
2017-02-10,Centre-Val de Loire,56
2017-02-10,Champagne-Ardenne,48
2017-02-10,Corsica,100
2017-02-10,Franche-Comté,47
2017-02-10,Languedoc-Roussillon,62
2017-02-10,Limousin,51
2017-02-10,Lorraine,51
2017-02-10,Lower Normandy,55
2017-02-10,Midi-Pyrénées,59
2017-02-10,Nord-Pas-de-Calais,46
2017-02-10,Pays de la Loire,55
2017-02-10,Picardy,52
2017-02-10,Poitou-Charentes,49
2017-02-10,Provence-Alpes-Côte d'Azur,67
2017-02-10,Rhone-Alpes,53
2017-02-10,Upper Normandy,53
2017-02-10,Île-de-France,60
2017-02-11,Alsace,45
2017-02-11,Aquitaine,61
2017-02-11,Auvergne,48
2017-02-11,Brittany,63
2017-02-11,Burgundy,36
2017-02-11,Centre-Val de Loire,63
2017-02-11,Champagne-Ardenne,92
2017-02-11,Corsica,100
2017-02-11,Franche-Comté,71
2017-02-11,Languedoc-Roussillon,58
2017-02-11,Limousin,64
2017-02-11,Lorraine,57
2017-02-11,Lower Normandy,68
2017-02-11,Midi-Pyrénées,65
2017-02-11,Nord-Pas-de-Calais,45
2017-02-11,Pays de la Loire,74
2017-02-11,Picardy,33
2017-02-11,Poitou-Charentes,58
2017-02-11,Provence-Alpes-Côte d'Azur,74
2017-02-11,Rhone-Alpes,58
2017-02-11,Upper Normandy,55
2017-02-11,Île-de-France,67
2017-02-12,Alsace,74
2017-02-12,Aquitaine,57
2017-02-12,Auvergne,54
2017-02-12,Brittany,92
2017-02-12,Burgundy,72
2017-02-12,Centre-Val de Loire,49
2017-02-12,Champagne-Ardenne,70
2017-02-12,Corsica,67
2017-02-12,Franche-Comté,89
2017-02-12,Languedoc-Roussillon,100
2017-02-12,Limousin,82
2017-02-12,Lorraine,49
2017-02-12,Lower Normandy,82
2017-02-12,Midi-Pyrénées,73
2017-02-12,Nord-Pas-de-Calais,69
2017-02-12,Pays de la Loire,87
2017-02-12,Picardy,57
2017-02-12,Poitou-Charentes,73
2017-02-12,Provence-Alpes-Côte d'Azur,95
2017-02-12,Rhone-Alpes,60
2017-02-12,Upper Normandy,59
2017-02-12,Île-de-France,79
2017-02-13,Alsace,48
2017-02-13,Aquitaine,37
2017-02-13,Auvergne,41
2017-02-13,Brittany,49
2017-02-13,Burgundy,59
2017-02-13,Centre-Val de Loire,56
2017-02-13,Champagne-Ardenne,52
2017-02-13,Corsica,100
2017-02-13,Franche-Comté,37
2017-02-13,Languedoc-Roussillon,67
2017-02-13,Limousin,69
2017-02-13,Lorraine,45
2017-02-13,Lower Normandy,53
2017-02-13,Midi-Pyrénées,51
2017-02-13,Nord-Pas-de-Calais,69
2017-02-13,Pays de la Loire,50
2017-02-13,Picardy,27
2017-02-13,Poitou-Charentes,64
2017-02-13,Provence-Alpes-Côte d'Azur,66
2017-02-13,Rhone-Alpes,53
2017-02-13,Upper Normandy,41
2017-02-13,Île-de-France,50
2017-02-14,Alsace,55
2017-02-14,Aquitaine,66
2017-02-14,Auvergne,42
2017-02-14,Brittany,63
2017-02-14,Burgundy,66
2017-02-14,Centre-Val de Loire,28
2017-02-14,Champagne-Ardenne,80
2017-02-14,Corsica,48
2017-02-14,Franche-Comté,80
2017-02-14,Languedoc-Roussillon,82
2017-02-14,Limousin,37
2017-02-14,Lorraine,41
2017-02-14,Lower Normandy,80
2017-02-14,Midi-Pyrénées,75
2017-02-14,Nord-Pas-de-Calais,62
2017-02-14,Pays de la Loire,84
2017-02-14,Picardy,43
2017-02-14,Poitou-Charentes,100
2017-02-14,Provence-Alpes-Côte d'Azur,92
2017-02-14,Rhone-Alpes,62
2017-02-14,Upper Normandy,50
2017-02-14,Île-de-France,69
2017-02-15,Alsace,64
2017-02-15,Aquitaine,65
2017-02-15,Auvergne,64
2017-02-15,Brittany,79
2017-02-15,Burgundy,70
2017-02-15,Centre-Val de Loire,67
2017-02-15,Champagne-Ardenne,86
2017-02-15,Corsica,80
2017-02-15,Franche-Comté,71
2017-02-15,Languedoc-Roussillon,84
2017-02-15,Limousin,55
2017-02-15,Lorraine,81
2017-02-15,Lower Normandy,41
2017-02-15,Midi-Pyrénées,65
