DATE,GEONAME,SCORE
2017-02-08,Champagne-Ardenne,47
2017-02-08,Corsica,60
2017-02-08,Franche-Comté,100
2017-02-08,Languedoc-Roussillon,56
2017-02-08,Limousin,67
2017-02-08,Lorraine,35
2017-02-08,Lower Normandy,42
2017-02-08,Midi-Pyrénées,66
2017-02-08,Nord-Pas-de-Calais,34
2017-02-08,Pays de la Loire,40
2017-02-08,Picardy,55
2017-02-08,Poitou-Charentes,45
2017-02-08,Provence-Alpes-Côte d'Azur,46
2017-02-08,Rhone-Alpes,53
2017-02-08,Upper Normandy,33
2017-02-08,Île-de-France,44
2017-02-09,Alsace,34
2017-02-09,Aquitaine,67
2017-02-09,Auvergne,24
2017-02-09,Brittany,64
2017-02-09,Burgundy,100
2017-02-09,Centre-Val de Loire,46
2017-02-09,Champagne-Ardenne,57
2017-02-09,Franche-Comté,71
2017-02-09,Languedoc-Roussillon,39
2017-02-09,Limousin,68
2017-02-09,Lorraine,36
2017-02-09,Lower Normandy,67
2017-02-09,Midi-Pyrénées,61
2017-02-09,Nord-Pas-de-Calais,26
2017-02-09,Pays de la Loire,28
2017-02-09,Picardy,40
2017-02-09,Poitou-Charentes,98
2017-02-09,Provence-Alpes-Côte d'Azur,43
2017-02-09,Rhone-Alpes,44
2017-02-09,Upper Normandy,28
2017-02-09,Île-de-France,34
2017-02-10,Alsace,33
2017-02-10,Aquitaine,19
2017-02-10,Auvergne,50
2017-02-10,Brittany,29
2017-02-10,Burgundy,35
2017-02-10,Centre-Val de Loire,28
2017-02-10,Champagne-Ardenne,10
2017-02-10,Corsica,100
2017-02-10,Franche-Comté,27
2017-02-10,Languedoc-Roussillon,33
2017-02-10,Limousin,44
2017-02-10,Lorraine,19
2017-02-10,Lower Normandy,23
2017-02-10,Midi-Pyrénées,23
2017-02-10,Nord-Pas-de-Calais,18
2017-02-10,Pays de la Loire,21
2017-02-10,Picardy,10
2017-02-10,Poitou-Charentes,39
2017-02-10,Provence-Alpes-Côte d'Azur,17
2017-02-10,Rhone-Alpes,19
2017-02-10,Upper Normandy,14
2017-02-10,Île-de-France,19
2017-02-11,Alsace,75
2017-02-11,Aquitaine,69
2017-02-11,Auvergne,76
2017-02-11,Brittany,76
2017-02-11,Burgundy,64
2017-02-11,Centre-Val de Loire,77
2017-02-11,Champagne-Ardenne,43
2017-02-11,Corsica,100
2017-02-11,Franche-Comté,73
2017-02-11,Languedoc-Roussillon,73
2017-02-11,Limousin,56
2017-02-11,Lorraine,41
2017-02-11,Lower Normandy,77
2017-02-11,Midi-Pyrénées,72
2017-02-11,Nord-Pas-de-Calais,42
2017-02-11,Pays de la Loire,41
2017-02-11,Picardy,35
2017-02-11,Poitou-Charentes,88
2017-02-11,Provence-Alpes-Côte d'Azur,47
2017-02-11,Rhone-Alpes,56
2017-02-11,Upper Normandy,66
2017-02-11,Île-de-France,56
2017-02-12,Alsace,56
2017-02-12,Aquitaine,69
2017-02-12,Auvergne,63
2017-02-12,Brittany,72
2017-02-12,Burgundy,84
2017-02-12,Centre-Val de Loire,60
2017-02-12,Champagne-Ardenne,28
2017-02-12,Corsica,72
2017-02-12,Franche-Comté,100
2017-02-12,Languedoc-Roussillon,88
2017-02-12,Limousin,77
2017-02-12,Lorraine,55
2017-02-12,Lower Normandy,85
2017-02-12,Midi-Pyrénées,77
2017-02-12,Nord-Pas-de-Calais,36
2017-02-12,Pays de la Loire,62
2017-02-12,Picardy,71
2017-02-12,Poitou-Charentes,76
2017-02-12,Provence-Alpes-Côte d'Azur,71
2017-02-12,Rhone-Alpes,57
2017-02-12,Upper Normandy,64
2017-02-12,Île-de-France,57
2017-02-13,Alsace,81
2017-02-13,Aquitaine,67
2017-02-13,Auvergne,100
2017-02-13,Brittany,43
2017-02-13,Burgundy,62
2017-02-13,Centre-Val de Loire,29
2017-02-13,Champagne-Ardenne,47
2017-02-13,Franche-Comté,38
2017-02-13,Languedoc-Roussillon,76
2017-02-13,Limousin,93
2017-02-13,Lorraine,57
2017-02-13,Lower Normandy,41
2017-02-13,Midi-Pyrénées,66
2017-02-13,Nord-Pas-de-Calais,20
2017-02-13,Pays de la Loire,51
2017-02-13,Picardy,49
2017-02-13,Poitou-Charentes,72
2017-02-13,Provence-Alpes-Côte d'Azur,59
2017-02-13,Rhone-Alpes,36
2017-02-13,Upper Normandy,16
2017-02-13,Île-de-France,51
2017-02-14,Alsace,100
2017-02-14,Aquitaine,29
2017-02-14,Auvergne,21
2017-02-14,Brittany,28
2017-02-14,Burgundy,39
2017-02-14,Centre-Val de Loire,33
2017-02-14,Champagne-Ardenne,44
2017-02-14,Franche-Comté,48
2017-02-14,Languedoc-Roussillon,39
2017-02-14,Limousin,45
2017-02-14,Lorraine,12
2017-02-14,Lower Normandy,25
2017-02-14,Midi-Pyrénées,47
2017-02-14,Nord-Pas-de-Calais,15
2017-02-14,Pays de la Loire,36
2017-02-14,Picardy,20
2017-02-14,Poitou-Charentes,32
2017-02-14,Provence-Alpes-Côte d'Azur,25
2017-02-14,Rhone-Alpes,28
2017-02-14,Upper Normandy,10
2017-02-14,Île-de-France,26
2017-02-15,Alsace,100
2017-02-15,Aquitaine,38
2017-02-15,Auvergne,19
2017-02-15,Brittany,84
2017-02-15,Burgundy,44
2017-02-15,Centre-Val de Loire,49
2017-02-15,Champagne-Ardenne,39
2017-02-15,Franche-Comté,31
2017-02-15,Languedoc-Roussillon,57
2017-02-15,Limousin,60
2017-02-15,Lorraine,38
2017-02-15,Lower Normandy,60
2017-02-15,Midi-Pyrénées,85
2017-02-15,Nord-Pas-de-Calais,43
2017-02-15,Pays de la Loire,72
2017-02-15,Picardy,21
2017-02-15,Poitou-Charentes,62
2017-02-15,Provence-Alpes-Côte d'Azur,36
2017-02-15,Rhone-Alpes,45
2017-02-15,Upper Normandy,75
2017-02-15,Île-de-France,44
2017-02-16,Alsace,48
2017-02-16,Aquitaine,34
2017-02-16,Auvergne,37
2017-02-16,Brittany,48
2017-02-16,Burgundy,35
2017-02-16,Centre-Val de Loire,28
2017-02-16,Champagne-Ardenne,25
2017-02-16,Corsica,100
2017-02-16,Franche-Comté,40
2017-02-16,Languedoc-Roussillon,45
2017-02-16,Limousin,80
2017-02-16,Lorraine,44
2017-02-16,Lower Normandy,49
2017-02-16,Midi-Pyrénées,55
2017-02-16,Nord-Pas-de-Calais,24
2017-02-16,Pays de la Loire,23
2017-02-16,Picardy,22
2017-02-16,Poitou-Charentes,33
2017-02-16,Provence-Alpes-Côte d'Azur,38
2017-02-16,Rhone-Alpes,26
2017-02-16,Upper Normandy,35
2017-02-16,Île-de-France,30
2017-02-17,Alsace,83
2017-02-17,Aquitaine,100
2017-02-17,Auvergne,56
2017-02-17,Brittany,90
2017-02-17,Burgundy,61
2017-02-17,Centre-Val de Loire,52
2017-02-17,Champagne-Ardenne,34
2017-02-17,Franche-Comté,61
2017-02-17,Languedoc-Roussillon,92
2017-02-17,Lorraine,62
2017-02-17,Lower Normandy,53
2017-02-17,Midi-Pyrénées,96
2017-02-17,Nord-Pas-de-Calais,47
2017-02-17,Pays de la Loire,59
2017-02-17,Picardy,31
2017-02-17,Poitou-Charentes,68
2017-02-17,Provence-Alpes-Côte d'Azur,85
2017-02-17,Rhone-Alpes,68
2017-02-17,Upper Normandy,49
2017-02-17,Île-de-France,58
2017-02-18,Alsace,61
2017-02-18,Aquitaine,70
2017-02-18,Auvergne,43
2017-02-18,Brittany,72
2017-02-18,Burgundy,65
2017-02-18,Centre-Val de Loire,50
2017-02-18,Champagne-Ardenne,43
2017-02-18,Corsica,50
2017-02-18,Franche-Comté,39
2017-02-18,Languedoc-Roussillon,80
2017-02-18,Limousin,57
2017-02-18,Lorraine,85
2017-02-18,Lower Normandy,34
2017-02-18,Midi-Pyrénées,100
2017-02-18,Nord-Pas-de-Calais,32
2017-02-18,Pays de la Loire,54
2017-02-18,Picardy,45
