DATE,GEONAME,SCORE
2017-02-08,Centre-Val de Loire,47
2017-02-08,Champagne-Ardenne,48
2017-02-08,Corsica,67
2017-02-08,Franche-Comté,66
2017-02-08,Languedoc-Roussillon,54
2017-02-08,Limousin,100
2017-02-08,Lorraine,27
2017-02-08,Lower Normandy,28
2017-02-08,Midi-Pyrénées,57
2017-02-08,Nord-Pas-de-Calais,44
2017-02-08,Pays de la Loire,48
2017-02-08,Picardy,18
2017-02-08,Poitou-Charentes,48
2017-02-08,Provence-Alpes-Côte d'Azur,38
2017-02-08,Rhone-Alpes,55
2017-02-08,Upper Normandy,42
2017-02-08,Île-de-France,49
2017-02-09,Alsace,18
2017-02-09,Aquitaine,28
2017-02-09,Auvergne,11
2017-02-09,Brittany,32
2017-02-09,Burgundy,23
2017-02-09,Centre-Val de Loire,23
2017-02-09,Champagne-Ardenne,9
2017-02-09,Corsica,27
2017-02-09,Franche-Comté,15
2017-02-09,Languedoc-Roussillon,15
2017-02-09,Limousin,100
2017-02-09,Lorraine,22
2017-02-09,Lower Normandy,21
2017-02-09,Midi-Pyrénées,32
2017-02-09,Nord-Pas-de-Calais,18
2017-02-09,Pays de la Loire,29
2017-02-09,Picardy,13
2017-02-09,Poitou-Charentes,33
2017-02-09,Provence-Alpes-Côte d'Azur,17
2017-02-09,Rhone-Alpes,26
2017-02-09,Upper Normandy,20
2017-02-09,Île-de-France,23
2017-02-10,Alsace,46
2017-02-10,Aquitaine,44
2017-02-10,Auvergne,39
2017-02-10,Brittany,66
2017-02-10,Burgundy,40
2017-02-10,Centre-Val de Loire,45
2017-02-10,Champagne-Ardenne,26
2017-02-10,Franche-Comté,39
2017-02-10,Languedoc-Roussillon,48
2017-02-10,Limousin,100
2017-02-10,Lorraine,23
2017-02-10,Lower Normandy,54
2017-02-10,Midi-Pyrénées,38
2017-02-10,Nord-Pas-de-Calais,22
2017-02-10,Pays de la Loire,37
2017-02-10,Picardy,25
2017-02-10,Poitou-Charentes,53
2017-02-10,Provence-Alpes-Côte d'Azur,32
2017-02-10,Rhone-Alpes,43
2017-02-10,Upper Normandy,39
2017-02-10,Île-de-France,43
2017-02-11,Alsace,36
2017-02-11,Aquitaine,54
2017-02-11,Auvergne,47
2017-02-11,Brittany,78
2017-02-11,Burgundy,48
2017-02-11,Centre-Val de Loire,43
2017-02-11,Champagne-Ardenne,32
2017-02-11,Corsica,100
2017-02-11,Franche-Comté,51
2017-02-11,Languedoc-Roussillon,59
2017-02-11,Limousin,56
2017-02-11,Lorraine,32
2017-02-11,Lower Normandy,46
2017-02-11,Midi-Pyrénées,49
2017-02-11,Nord-Pas-de-Calais,36
2017-02-11,Pays de la Loire,36
2017-02-11,Picardy,24
2017-02-11,Poitou-Charentes,66
2017-02-11,Provence-Alpes-Côte d'Azur,43
2017-02-11,Rhone-Alpes,46
2017-02-11,Upper Normandy,47
2017-02-11,Île-de-France,49
2017-02-12,Alsace,61
2017-02-12,Aquitaine,60
2017-02-12,Auvergne,66
2017-02-12,Brittany,100
2017-02-12,Burgundy,71
2017-02-12,Centre-Val de Loire,67
2017-02-12,Champagne-Ardenne,40
2017-02-12,Corsica,53
2017-02-12,Franche-Comté,58
2017-02-12,Languedoc-Roussillon,79
2017-02-12,Limousin,56
2017-02-12,Lorraine,58
2017-02-12,Lower Normandy,43
2017-02-12,Midi-Pyrénées,68
2017-02-12,Nord-Pas-de-Calais,64
2017-02-12,Pays de la Loire,84
2017-02-12,Picardy,80
2017-02-12,Poitou-Charentes,51
2017-02-12,Provence-Alpes-Côte d'Azur,69
2017-02-12,Rhone-Alpes,72
2017-02-12,Upper Normandy,65
2017-02-12,Île-de-France,86
2017-02-13,Alsace,23
2017-02-13,Aquitaine,42
2017-02-13,Auvergne,13
2017-02-13,Brittany,50
2017-02-13,Burgundy,43
2017-02-13,Centre-Val de Loire,38
2017-02-13,Champagne-Ardenne,33
2017-02-13,Corsica,100
2017-02-13,Franche-Comté,25
2017-02-13,Languedoc-Roussillon,47
2017-02-13,Limousin,53
2017-02-13,Lorraine,45
2017-02-13,Lower Normandy,52
2017-02-13,Midi-Pyrénées,55
2017-02-13,Nord-Pas-de-Calais,28
2017-02-13,Pays de la Loire,39
2017-02-13,Picardy,30
2017-02-13,Poitou-Charentes,61
2017-02-13,Provence-Alpes-Côte d'Azur,31
2017-02-13,Rhone-Alpes,37
2017-02-13,Upper Normandy,40
2017-02-13,Île-de-France,39
2017-02-14,Alsace,46
2017-02-14,Aquitaine,50
2017-02-14,Auvergne,54
2017-02-14,Brittany,85
2017-02-14,Burgundy,47
2017-02-14,Centre-Val de Loire,53
2017-02-14,Champagne-Ardenne,28
2017-02-14,Corsica,78
2017-02-14,Franche-Comté,9
2017-02-14,Languedoc-Roussillon,80
2017-02-14,Limousin,100
2017-02-14,Lorraine,38
2017-02-14,Lower Normandy,54
2017-02-14,Midi-Pyrénées,65
2017-02-14,Nord-Pas-de-Calais,44
2017-02-14,Pays de la Loire,62
2017-02-14,Picardy,43
2017-02-14,Poitou-Charentes,67
2017-02-14,Provence-Alpes-Côte d'Azur,54
2017-02-14,Rhone-Alpes,48
2017-02-14,Upper Normandy,56
2017-02-14,Île-de-France,46
2017-02-15,Alsace,32
2017-02-15,Aquitaine,80
2017-02-15,Auvergne,51
2017-02-15,Brittany,100
2017-02-15,Burgundy,51
2017-02-15,Centre-Val de Loire,42
2017-02-15,Champagne-Ardenne,22
2017-02-15,Franche-Comté,72
2017-02-15,Languedoc-Roussillon,98
2017-02-15,Limousin,93
2017-02-15,Lorraine,45
2017-02-15,Lower Normandy,66
2017-02-15,Midi-Pyrénées,88
2017-02-15,Nord-Pas-de-Calais,65
2017-02-15,Pays de la Loire,96
2017-02-15,Picardy,37
2017-02-15,Poitou-Charentes,95
